Time_s,Force_Ref_N,Force_Pred_N,Force_Normal_N,Force_Total_N,Force_Shear_N,Motor1_pos_deg,Motor2_pos_deg,ThetaRef1_deg,ThetaRef2_deg,ThetaRef3_deg
0.2246,0.4000,1.011335,0.833762,0.867249,0.238664,38.5840,43.2422,28.458397,29.371323,29.371323
0.2261,0.4000,1.010585,0.833762,0.867249,0.238664,38.5840,43.2422,28.450923,29.368224,29.368224
0.2271,0.4000,1.009836,0.833762,0.867249,0.238664,38.5840,43.2422,28.443460,29.365129,29.365129
0.2280,0.4000,1.009088,0.833762,0.867249,0.238664,38.5840,43.2422,28.436005,29.362038,29.362038
0.2292,0.4000,1.008341,0.833762,0.867249,0.238664,38.5840,43.2422,28.428559,29.358951,29.358951
0.2302,0.4000,1.007595,0.833762,0.867249,0.238664,38.5840,43.2422,28.421123,29.355867,29.355867
0.2313,0.4000,1.006850,0.833762,0.867249,0.238664,38.5840,43.2422,28.413695,29.352788,29.352788
0.2325,0.4000,1.006106,0.833762,0.867249,0.238664,38.5840,43.2422,28.406277,29.349712,29.349712
0.2336,0.4000,1.005363,0.833762,0.867249,0.238664,38.5840,43.2422,28.398868,29.346639,29.346639
0.2347,0.4000,1.004620,0.833762,0.867249,0.238664,38.5840,43.2422,28.391468,29.343571,29.343571
0.2358,0.4000,1.003879,0.833762,0.867249,0.238664,38.5840,43.2422,28.384077,29.340506,29.340506
0.2370,0.4000,1.003138,0.833762,0.867249,0.238664,38.5840,43.2422,28.376695,29.337445,29.337445
0.2380,0.4000,1.002398,0.833762,0.867249,0.238664,38.5840,43.2422,28.369322,29.334388,29.334388
0.2392,0.4000,1.001659,0.833762,0.867249,0.238664,38.5840,43.2422,28.361958,29.331335,29.331335
0.2402,0.4000,1.000922,0.833762,0.867249,0.238664,38.5840,43.2422,28.354603,29.328285,29.328285
0.2413,0.4000,0.998437,0.833762,0.867249,0.238664,38.5840,43.3301,28.347265,29.325248,29.325248
0.2424,0.4000,0.997701,0.833762,0.867249,0.238664,38.5840,43.3301,28.339936,29.322214,29.322214
0.2435,0.4000,0.996965,0.833762,0.867249,0.238664,38.5840,43.3301,28.332616,29.319183,29.319183
0.2446,0.4000,0.996231,0.833762,0.867249,0.238664,38.5840,43.3301,28.325305,29.316157,29.316157
0.2458,0.4000,0.993749,0.833762,0.867249,0.238664,38.5840,43.4180,28.318011,29.313143,29.313143
0.2470,0.4000,0.991271,0.833762,0.867249,0.238664,38.5840,43.5059,28.310733,29.310140,29.310140
0.2480,0.4000,0.990539,0.833762,0.867249,0.238664,38.5840,43.5059,28.303464,29.307141,29.307141
