Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,K_d_Nmrad,Alpha
0.1450,descent,1.0737,51.6797,42.8027,-26.1060,-16.4880,0.025144,0.044339,0.084774,0.000226,0.600000,0
0.1462,descent,1.0737,51.5918,42.8027,-27.4800,-15.1140,0.025338,0.044279,0.084770,0.000230,0.600000,0
0.1473,descent,1.0737,51.5918,42.8027,-27.4800,-15.1140,0.025338,0.044279,0.084770,0.000230,0.600000,0
0.1484,descent,1.0737,51.5039,42.8027,-27.4800,-13.7400,0.025516,0.044220,0.084757,0.000243,0.600000,0
0.1495,descent,1.0737,51.5039,42.8027,-28.8540,-12.3660,0.025531,0.044166,0.084757,0.000243,0.600000,0
0.1506,descent,1.0737,51.4160,42.8027,-28.8540,-12.3660,0.025710,0.044161,0.084759,0.000241,0.600000,0
0.1517,descent,1.0737,51.4160,42.8027,-28.8540,-10.9920,0.025710,0.044107,0.084758,0.000242,0.600000,0
0.1528,descent,1.0737,51.3281,42.8027,-30.2280,-10.9920,0.025903,0.044102,0.084758,0.000242,0.600000,0
0.1539,descent,1.0737,51.3281,42.8027,-30.2280,-9.6180,0.025903,0.044048,0.084740,0.000260,0.600000,0
0.1550,descent,1.0737,51.3281,42.8027,-30.2280,-9.6180,0.025903,0.044048,0.084740,0.000260,0.600000,0
0.1562,descent,1.0737,51.2402,42.8027,-31.6020,-8.2440,0.026096,0.043989,0.084729,0.000271,0.600000,0
0.1573,descent,1.0737,51.1523,42.8027,-32.9760,-6.8700,0.026290,0.043929,0.084729,0.000271,0.600000,0
0.1584,descent,1.0737,51.1523,42.8027,-32.9760,-6.8700,0.026290,0.043929,0.084738,0.000262,0.600000,0
0.1595,descent,1.0737,51.0645,42.8027,-32.9760,-5.4960,0.026468,0.043878,0.084738,0.000262,0.600000,0
0.1606,descent,1.0737,50.9766,42.8027,-34.3500,-5.4960,0.026662,0.043873,0.084746,0.000254,0.600000,0
0.1617,descent,1.0737,50.9766,42.8027,-34.3500,-5.4960,0.026662,0.043873,0.084729,0.000271,0.600000,0
0.1628,descent,1.0737,50.8887,42.8027,-35.7240,-4.1220,0.026855,0.044443,0.084729,0.000271,0.600000,0
0.1639,descent,1.0737,50.8887,42.8027,-35.7240,-4.1220,0.026855,0.044443,0.084731,0.000269,0.600000,0
0.1650,descent,1.0737,50.8008,42.8027,-37.0980,-2.7480,0.027048,0.059272,0.084731,0.000269,0.600000,0
0.1661,descent,1.0737,50.7129,42.8027,-38.4720,-1.3740,0.027242,0.149255,0.084728,0.000272,0.600000,0
0.1673,descent,1.0737,50.7129,42.8027,-38.4720,-1.3740,0.027242,0.149255,0.084728,0.000272,0.600000,0
0.1684,descent,1.0737,50.6250,42.8027,-38.4720,-1.3740,0.027421,0.149250,0.084721,0.000279,0.600000,0
0.1695,descent,1.0737,50.6250,42.8027,-39.8460,-1.3740,0.027435,0.149250,0.084721,0.000279,0.600000,0
0.1706,descent,1.0737,50.5371,42.8027,-39.8460,-1.3740,0.027614,0.149245,0.084714,0.000286,0.600000,0
0.1717,descent,1.0737,50.4492,42.8027,-39.8460,0.0000,0.027793,0.243620,0.084703,0.000297,0.600000,0
0.1728,descent,1.0737,50.4492,42.8027,-39.8460,0.0000,0.027793,0.243620,0.084703,0.000297,0.600000,0
0.1739,descent,1.0737,50.3613,42.8027,-41.2200,0.0000,0.027986,0.243615,0.084700,0.000300,0.600000,0
0.1750,descent,1.0737,50.3613,42.8027,-41.2200,0.0000,0.027986,0.243615,0.084700,0.000300,0.600000,0
