time_s,k_torsional,run,phase,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,qdot_0,qdot_1,qdot_2,qdot_3,qdot_4,qdot_5,qdot_6,qdot_7,qdot_8,qdot_9,qdot_10,qdot_11,qdot_12,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12
35.2417,0.3,1,descend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033283540049838392,8.741921705542063e-05,-0.0017020590990382395,-0.00035900344052854663,4.3573862376826495e-05,0.0667557521446579,-0.1449133149515285,0.06717551379873306,-0.14016486087849414,0.06681596711429227,-0.14493009637381998,0.0655540272475229,-0.1630590537784723
35.2686,0.3,1,descend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033283320873933294,8.749205956690376e-05,-0.0017020625349881725,-0.00035900350870757546,4.356438479271426e-05,0.06675571752946874,-0.14491330530389349,0.06717548832793939,-0.14016485483824526,0.06681595683831514,-0.14493009371011653,0.06555403536316984,-0.16305905684362418
35.2956,0.3,1,descend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033283398246863353,8.748982852359853e-05,-0.0017020653005675999,-0.00035900434086871765,4.3566540861448174e-05,0.06675572699182858,-0.14491330777171318,0.06717549322737595,-0.14016485584180785,0.06681595703287017,-0.1449300935392828,0.06555403186990584,-0.16305905536840098
35.3225,0.3,1,descend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033283569006610117,8.739726889307129e-05,-0.001702056557094218,-0.0003590029821654216,4.357573894114267e-05,0.0667557581650765,-0.14491331671841,0.06717551931136302,-0.1401648622688625,0.06681597027338662,-0.14493009730882422,0.06555402650480438,-0.16305905357976405
35.3495,0.3,1,descend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033282857027779854,8.797223243699477e-05,-0.0017021250341934335,-0.0003590155402602653,4.3527823286396744e-05,0.06675560600507265,-0.1449132718681335,0.06717537759017075,-0.14016482637923897,0.06681588738473238,-0.14493007263325497,0.06555404376652019,-0.1630590578537887
35.3772,0.3,1,descend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033283507566942558,8.741191287377551e-05,-0.0017020565419227284,-0.00035900279069436554,4.357337450989848e-05,0.06675574913958085,-0.14491331424458317,0.06717551317821091,-0.1401648608533634,0.06681596823803441,-0.14493009683567493,0.06555402893530309,-0.1630590545360533
35.4042,0.3,1,descend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033284489639783784,8.64606871542401e-05,-0.0017019352751297683,-0.00035897970469393753,4.364752816762334e-05,0.06675597764271289,-0.14491338243844737,0.06717573612681985,-0.14016491793533592,0.06681610549985413,-0.14493013829918067,0.06555400915422639,-0.16305905121313938
35.4312,0.3,1,descend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033284865496812782,8.5968375877628e-05,-0.0017018671245297838,-0.00035896619394448255,4.368243100390123e-05,0.06675608018120391,-0.1449134136668911,0.0671758437555583,-0.14016494593421716,0.06681617668498918,-0.1449301602082129,0.06555400491154179,-0.16305905205018803
35.4582,0.3,1,descend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033284511033031487,8.62226885772832e-05,-0.0017018958185599912,-0.0003589712802062633,4.366016180464113e-05,0.06675600814408889,-0.14491339260513963,0.06717577882475671,-0.14016492961696342,0.06681614021089104,-0.1449301494707693,0.06555401449133054,-0.16305905476166574
35.4863,0.3,1,descend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003328438114152577,8.644856436510034e-05,-0.0017019288141147905,-0.00035897798159685346,4.3645275093783276e-05,0.06675596616226266,-0.14491337958643807,0.06717573191849434,-0.14016491726224756,0.06681610746552222,-0.14493013926299428,0.06555401447026189,-0.1630590535406769
35.5142,0.3,1,descend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033284318971332494,8.653944722285636e-05,-0.00170194168737365,-0.00035898056100726837,4.363902428665281e-05,0.0667559480930739,-0.14491337404382865,0.06717571246672015,-0.14016491217617827,0.06681609430477631,-0.14493013519055073,0.0655540149143436,-0.1630590532421953
35.5412,0.3,2,sweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033284157312815513,8.671470295500892e-05,-0.0017019648144363088,-0.0003589850419124885,4.3625867990857686e-05,0.06675590828254435,-0.14491336207157646,0.06717567252028904,-0.14016490188418818,0.0668160689949108,-0.14493012748596973,0.06555401768657243,-0.16305905348236652
35.5684,0.3,2,sweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033283513496368032,8.738780039071548e-05,-0.0017020526977868343,-0.0003590019815397479,4.357475255285265e-05,0.06675575267582431,-0.14491331538993796,0.06717551772578859,-0.14016486208106171,0.06681597175318012,-0.14493009795549086,0.06555402930841954,-0.1630590548239384
35.5954,0.3,2,sweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033283454394618557,8.761112517444874e-05,-0.001702088130896231,-0.000359009426405457,4.3561880046659155e-05,0.06675571942745803,-0.14491330465354635,0.06717547536095664,-0.14016485066134554,0.06681593919935434,-0.1449300875976484,0.06555402604018115,-0.163059052237675
35.6222,0.3,2,sweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033283793357507217,8.691741425391028e-05,-0.0017019843743126637,-0.00035898813539573783,4.360597809073854e-05,0.0667558411921101,-0.14491334278315274,0.06717561599804056,-0.14016488792952725,0.06681604001938779,-0.14493011920611068,0.06555402901788868,-0.16305905721916789
35.6505,0.3,2,sweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00332844951959847,8.652629697887386e-05,-0.001701946617261074,-0.00035898216236568734,4.3644348685912904e-05,0.06675597059712939,-0.14491337998810777,0.06717572502228104,-0.14016491484730328,0.06681609590823823,-0.14493013517760864,0.0655540071535419,-0.1630590500097168
