Phase,displacement_m,Kx_N_per_m,F_N
descent,0.014848341708542713,30.717286961608526,2.3289785637171945
descent,0.014948668341708543,30.04104024161645,2.332026341416682
descent,0.015048994974874372,29.372149860143335,2.335006642577901
descent,0.015149321608040202,28.710615817189158,2.337920205237528
descent,0.01524964824120603,28.05643811275396,2.3407677674322387
descent,0.01534997487437186,27.409616746837706,2.3435500671987093
descent,0.015450301507537689,26.770151719440417,2.3462678425736163
descent,0.015550628140703519,26.13804303056208,2.3489218315936347
descent,0.01565095477386935,25.5132906802027,2.351512772295441
descent,0.015751281407035175,24.8958946683623,2.354041402715711
descent,0.015851608040201005,24.285854995040832,2.3565084608911224
descent,0.015951934673366835,23.683171660238322,2.358914684858348
descent,0.016052261306532666,23.087844663954776,2.3612608126540677
descent,0.016152587939698492,22.4998740061902,2.363547582314955
descent,0.016252914572864322,21.919259686944564,2.3657757318776858
descent,0.016353241206030152,21.346001706217887,2.3679459993789367
descent,0.01645356783919598,20.780100064010185,2.370059122855385
descent,0.01655389447236181,20.22155476032143,2.372115840343705
descent,0.01665422110552764,19.67036579515162,2.3741168898805727
descent,0.01675454773869347,19.126533168500778,2.376063009502666
descent,0.016854874371859296,18.590056880368902,2.377954937246659
descent,0.016955201005025126,18.06093693075597,2.3797934111492287
descent,0.017055527638190956,17.539173319661998,2.381579169247051
descent,0.017155854271356786,17.024766047086985,2.3833129495768013
descent,0.017256180904522612,16.517715113030942,2.3849954901751564
descent,0.017356507537688443,16.018020517493845,2.3866275290787917
descent,0.017456834170854273,15.525682260475698,2.3882098043243842
descent,0.017557160804020103,15.040700341976514,2.3897430539486093
descent,0.01765748743718593,14.563074761996301,2.391228015988143
descent,0.01775781407035176,14.09280552053503,2.392665428479661
descent,0.01785814070351759,13.629892617592718,2.3940560294598403
descent,0.017958467336683416,13.17433605316938,2.3954005569653565
descent,0.018058793969849246,12.726135827264985,2.3966997490328854
descent,0.018159120603015076,12.285291939879546,2.3979543436991033
descent,0.018259447236180906,11.851804391013061,2.3991650790006855
descent,0.018359773869346733,11.425673180665553,2.4003326929743087
descent,0.018460100502512563,11.006898308836988,2.4014579236566496
