time_s,pose_id,converged,thumb_CMC1_act_rad,thumb_CMC2_act_rad,thumb_MCP_act_rad,thumb_IP_act_rad,spread_index_act_rad,spread_middle_act_rad,spread_ring_act_rad,spread_pinky_act_rad,index_MCP_act_rad,index_PIP_act_rad,index_DIP_act_rad,middle_MCP_act_rad,middle_PIP_act_rad,middle_DIP_act_rad,ring_MCP_act_rad,ring_PIP_act_rad,ring_DIP_act_rad,pinky_MCP_act_rad,pinky_PIP_act_rad,pinky_DIP_act_rad,thumb_CMC1_ref_rad,thumb_CMC2_ref_rad,thumb_MCP_ref_rad,thumb_IP_ref_rad,spread_index_ref_rad,spread_middle_ref_rad,spread_ring_ref_rad,spread_pinky_ref_rad,index_MCP_ref_rad,index_PIP_ref_rad,index_DIP_ref_rad,middle_MCP_ref_rad,middle_PIP_ref_rad,middle_DIP_ref_rad,ring_MCP_ref_rad,ring_PIP_ref_rad,ring_DIP_ref_rad,pinky_MCP_ref_rad,pinky_PIP_ref_rad,pinky_DIP_ref_rad
1.0333,1,0,0.931101,-0.071227,0.803755,0.600831,-0.012374,-0.000000,0.012374,0.018561,0.906546,1.080119,1.080119,0.849654,1.132451,1.132451,0.984889,1.113895,1.113895,0.967169,1.102499,1.102499,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
1.0667,1,0,0.933381,-0.070358,0.803755,0.612795,-0.012016,-0.000000,0.012016,0.018024,0.897219,1.077305,1.077305,0.849654,1.126326,1.126326,0.988620,1.111784,1.111784,0.946650,1.101706,1.101706,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
1.1000,1,0,0.940788,-0.071227,0.803755,0.661978,-0.011658,-0.000000,0.011658,0.017487,0.889758,1.073083,1.073083,0.851519,1.120201,1.120201,0.987687,1.111081,1.111081,0.930795,1.099326,1.099326,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
1.1333,1,0,0.943638,-0.065146,0.803755,0.681917,-0.011556,-0.000000,0.011556,0.017334,0.884162,1.068861,1.068861,0.861778,1.116117,1.116117,0.985822,1.110377,1.110377,0.920536,1.097740,1.097740,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
1.1667,1,0,0.943068,-0.036482,0.812629,0.675271,-0.011505,-0.000000,0.011505,0.017257,0.878566,1.065343,1.065343,0.862711,1.113395,1.113395,0.982091,1.108970,1.108970,0.914940,1.094567,1.094567,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
1.2000,1,0,0.943638,-0.012161,0.841788,0.663307,-0.011505,-0.000000,0.011505,0.017257,0.874835,1.063232,1.063232,0.861778,1.111353,1.111353,0.960640,1.107562,1.107562,0.912142,1.092188,1.092188,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
1.2333,1,0,0.943638,0.001737,0.849394,0.648685,-0.011505,-0.000000,0.011505,0.017257,0.872970,1.063232,1.063232,0.862711,1.110673,1.110673,0.941987,1.105451,1.105451,0.912142,1.089808,1.089808,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
1.2667,1,0,0.944207,0.005212,0.843056,0.636722,-0.012118,-0.000000,0.012118,0.018178,0.872037,1.063232,1.063232,0.862711,1.109992,1.109992,0.923334,1.104044,1.104044,0.912142,1.087429,1.087429,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
1.3000,1,0,0.949336,0.004343,0.834181,0.620770,-0.012681,-0.000000,0.012681,0.019021,0.872037,1.063232,1.063232,0.862711,1.110673,1.110673,0.910276,1.103340,1.103340,0.914007,1.085843,1.085843,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
1.3333,1,0,0.953894,0.003474,0.827843,0.606148,-0.012374,-0.000000,0.012374,0.018561,0.875768,1.064639,1.064639,0.862711,1.110673,1.110673,0.900950,1.102637,1.102637,0.940122,1.084256,1.084256,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
