Time_s,Force_Ref_N,Force_Pred_N,Force_Normal_N,Force_Total_N,Force_Shear_N,Motor1_pos_deg,Motor2_pos_deg,K11,K22,K33
0.1489,0.4000,0.943456,1.144917,1.149601,0.103680,46.6699,42.9785,0.488835,0.498716,0.498716
0.1500,0.4000,0.945131,1.144917,1.149601,0.103680,46.6699,42.8906,0.488754,0.498704,0.498704
0.1512,0.4000,0.947206,1.144917,1.149601,0.103680,46.5820,42.8906,0.488673,0.498691,0.498691
0.1522,0.4000,0.948876,1.144917,1.149601,0.103680,46.5820,42.8027,0.488591,0.498678,0.498678
0.1533,0.4000,0.948667,1.144917,1.149601,0.103680,46.5820,42.8027,0.488510,0.498665,0.498665
0.1545,0.4000,0.948457,1.144917,1.149601,0.103680,46.5820,42.8027,0.488428,0.498653,0.498653
0.1556,0.4000,0.950128,1.144917,1.149601,0.103680,46.5820,42.7148,0.488347,0.498640,0.498640
0.1567,0.4000,0.949918,1.144917,1.149601,0.103680,46.5820,42.7148,0.488265,0.498626,0.498626
0.1578,0.4000,0.949707,1.144917,1.149601,0.103680,46.5820,42.7148,0.488184,0.498613,0.498613
0.1589,0.4000,0.949497,1.144917,1.149601,0.103680,46.5820,42.7148,0.488103,0.498600,0.498600
0.1600,0.4000,0.953426,1.144917,1.149601,0.103680,46.4941,42.6270,0.488021,0.498587,0.498587
0.1612,0.4000,0.953213,1.144917,1.149601,0.103680,46.4941,42.6270,0.487938,0.498574,0.498574
0.1622,0.4000,0.952999,1.144917,1.149601,0.103680,46.4941,42.6270,0.487856,0.498560,0.498560
0.1633,0.4000,0.954664,1.144917,1.149601,0.103680,46.4941,42.5391,0.487774,0.498547,0.498547
0.1645,0.4000,0.954450,1.144917,1.149601,0.103680,46.4941,42.5391,0.487692,0.498533,0.498533
0.1656,0.4000,0.954235,1.144917,1.149601,0.103680,46.4941,42.5391,0.487610,0.498520,0.498520
0.1667,0.4000,0.955901,1.144917,1.149601,0.103680,46.4941,42.4512,0.487528,0.498506,0.498506
0.1678,0.4000,0.957925,1.144917,1.149601,0.103680,46.4062,42.4512,0.487445,0.498492,0.498492
0.1689,0.4000,0.957707,1.144917,1.149601,0.103680,46.4062,42.4512,0.487363,0.498479,0.498479
0.1700,0.4000,0.957489,1.144917,1.149601,0.103680,46.4062,42.4512,0.487280,0.498465,0.498465
0.1712,0.4000,0.957271,1.144917,1.149601,0.103680,46.4062,42.4512,0.487197,0.498451,0.498451
0.1723,0.4000,0.961160,1.144917,1.149601,0.103680,46.3184,42.3633,0.487114,0.498437,0.498437
0.1733,0.4000,0.960939,1.144917,1.149601,0.103680,46.3184,42.3633,0.487031,0.498423,0.498423
0.1745,0.4000,0.960718,1.144917,1.149601,0.103680,46.3184,42.3633,0.486948,0.498409,0.498409
0.1756,0.4000,0.960497,1.144917,1.149601,0.103680,46.3184,42.3633,0.486865,0.498395,0.498395
0.1767,0.4000,0.962499,1.144917,1.149601,0.103680,46.2305,42.3633,0.486781,0.498381,0.498381
0.1778,0.4000,0.962276,1.144917,1.149601,0.103680,46.2305,42.3633,0.486697,0.498367,0.498367
0.1789,0.4000,0.965794,1.144917,1.149601,0.103680,46.2305,42.1875,0.486613,0.498352,0.498352
0.1800,0.4000,0.965568,1.144917,1.149601,0.103680,46.2305,42.1875,0.486529,0.498338,0.498338
0.1812,0.4000,0.967550,1.144917,1.149601,0.103680,46.1426,42.1875,0.486445,0.498323,0.498323
0.1822,0.4000,0.967322,1.144917,1.149601,0.103680,46.1426,42.1875,0.486360,0.498308,0.498308
0.1833,0.4000,0.967094,1.144917,1.149601,0.103680,46.1426,42.1875,0.486276,0.498294,0.498294
0.1845,0.4000,0.969068,1.144917,1.149601,0.103680,46.0547,42.1875,0.486191,0.498279,0.498279
0.1856,0.4000,0.968839,1.144917,1.149601,0.103680,46.0547,42.1875,0.486106,0.498265,0.498265
0.1867,0.4000,0.968610,1.144917,1.149601,0.103680,46.0547,42.1875,0.486021,0.498250,0.498250
0.1878,0.4000,0.968381,1.144917,1.149601,0.103680,46.0547,42.1875,0.485937,0.498235,0.498235
0.1889,0.4000,0.968152,1.144917,1.149601,0.103680,46.0547,42.1875,0.485852,0.498221,0.498221
0.1900,0.4000,0.970117,1.144917,1.149601,0.103680,45.9668,42.1875,0.485766,0.498206,0.498206
0.1912,0.4000,0.969886,1.144917,1.149601,0.103680,45.9668,42.1875,0.485681,0.498191,0.498191
0.1922,0.4000,0.969656,1.144917,1.149601,0.103680,45.9668,42.1875,0.485596,0.498177,0.498177
0.1933,0.4000,0.971614,1.144917,1.149601,0.103680,45.8789,42.1875,0.485510,0.498162,0.498162
0.1945,0.4000,0.971382,1.144917,1.149601,0.103680,45.8789,42.1875,0.485424,0.498147,0.498147
0.1956,0.4000,0.971149,1.144917,1.149601,0.103680,45.8789,42.1875,0.485338,0.498133,0.498133
0.1967,0.4000,0.970917,1.144917,1.149601,0.103680,45.8789,42.1875,0.485253,0.498118,0.498118
0.1978,0.4000,0.975046,1.144917,1.149601,0.103680,45.7031,42.1875,0.485166,0.498103,0.498103
0.1989,0.4000,0.974810,1.144917,1.149601,0.103680,45.7031,42.1875,0.485079,0.498088,0.498088
0.2000,0.4000,0.974574,1.144917,1.149601,0.103680,45.7031,42.1875,0.484992,0.498074,0.498074
0.2012,0.4000,0.976511,1.144917,1.149601,0.103680,45.6152,42.1875,0.484905,0.498059,0.498059
0.2022,0.4000,0.976274,1.144917,1.149601,0.103680,45.6152,42.1875,0.484817,0.498044,0.498044
0.2033,0.4000,0.976036,1.144917,1.149601,0.103680,45.6152,42.1875,0.484730,0.498029,0.498029
0.2045,0.4000,0.975799,1.144917,1.149601,0.103680,45.6152,42.1875,0.484643,0.498015,0.498015
0.2056,0.4000,0.977728,1.144917,1.149601,0.103680,45.5273,42.1875,0.484555,0.498000,0.498000
0.2067,0.4000,0.977489,1.144917,1.149601,0.103680,45.5273,42.1875,0.484467,0.497985,0.497985
0.2078,0.4000,0.977250,1.144917,1.149601,0.103680,45.5273,42.1875,0.484379,0.497970,0.497970
0.2089,0.4000,0.979172,1.144917,1.149601,0.103680,45.4395,42.1875,0.484291,0.497955,0.497955
0.2100,0.4000,0.978931,1.144917,1.149601,0.103680,45.4395,42.1875,0.484203,0.497940,0.497940
0.2112,0.4000,0.978691,1.144917,1.149601,0.103680,45.4395,42.1875,0.484114,0.497926,0.497926
0.2122,0.4000,0.980605,1.144917,1.149601,0.103680,45.3516,42.1875,0.484026,0.497911,0.497911
0.2133,0.4000,0.980363,1.144917,1.149601,0.103680,45.3516,42.1875,0.483937,0.497896,0.497896
0.2145,0.4000,0.980121,1.144917,1.149601,0.103680,45.3516,42.1875,0.483848,0.497881,0.497881
0.2156,0.4000,0.982027,1.144917,1.149601,0.103680,45.2637,42.1875,0.483759,0.497866,0.497866
0.2167,0.4000,0.981784,1.144917,1.149601,0.103680,45.2637,42.1875,0.483669,0.497851,0.497851
0.2178,0.4000,0.981540,1.144917,1.149601,0.103680,45.2637,42.1875,0.483580,0.497836,0.497836
0.2189,0.4000,0.981296,1.144917,1.149601,0.103680,45.2637,42.1875,0.483491,0.497821,0.497821
0.2200,0.4000,0.983195,1.144917,1.149601,0.103680,45.1758,42.1875,0.483401,0.497806,0.497806
0.2212,0.4000,0.982949,1.144917,1.149601,0.103680,45.1758,42.1875,0.483311,0.497791,0.497791
0.2223,0.4000,0.982704,1.144917,1.149601,0.103680,45.1758,42.1875,0.483222,0.497776,0.497776
0.2234,0.4000,0.984596,1.145037,1.149739,0.103874,45.0879,42.1875,0.483131,0.497762,0.497762
0.2245,0.4000,0.984349,1.145037,1.149739,0.103874,45.0879,42.1875,0.483041,0.497747,0.497747
0.2256,0.4000,0.984102,1.145037,1.149739,0.103874,45.0879,42.1875,0.482951,0.497732,0.497732
0.2267,0.4000,0.985986,1.145037,1.149739,0.103874,45.0000,42.1875,0.482860,0.497717,0.497717
0.2278,0.4000,0.982165,1.145037,1.149739,0.103874,45.0000,42.3633,0.482770,0.497702,0.497702
0.2289,0.4000,0.981919,1.145037,1.149739,0.103874,45.0000,42.3633,0.482679,0.497688,0.497688
0.2300,0.4000,0.982033,1.145037,1.149739,0.103874,44.9121,42.4512,0.482588,0.497673,0.497673
0.2312,0.4000,0.980016,1.145037,1.149739,0.103874,44.9121,42.5391,0.482498,0.497659,0.497659
0.2322,0.4000,0.978005,1.145037,1.149739,0.103874,44.9121,42.6270,0.482407,0.497645,0.497645
0.2333,0.4000,0.978145,1.145037,1.149739,0.103874,44.8242,42.7148,0.482316,0.497632,0.497632
